danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,like
0.393,0.0878,5,-21.628,1,0.053,0.989,0.856,0.316,0.122,185.562,audio_features,5hKi8LHc2GF5v9TSsvgZaf,spotify:track:5hKi8LHc2GF5v9TSsvgZaf,https://api.spotify.com/v1/tracks/5hKi8LHc2GF5v9TSsvgZaf,https://api.spotify.com/v1/audio-analysis/5hKi8LHc2GF5v9TSsvgZaf,174400,4,0
0.413,0.497,6,-9.039,1,0.0736,0.636,0,0.179,0.368,112.306,audio_features,18Dv8QiJUFh0erAN0R7jDh,spotify:track:18Dv8QiJUFh0erAN0R7jDh,https://api.spotify.com/v1/tracks/18Dv8QiJUFh0erAN0R7jDh,https://api.spotify.com/v1/audio-analysis/18Dv8QiJUFh0erAN0R7jDh,213493,4,0
0.393,0.852,6,-2.278,1,0.0726,0.0193,0,0.291,0.15,106.902,audio_features,0ISIeXBvGQIcQGYfR56jy8,spotify:track:0ISIeXBvGQIcQGYfR56jy8,https://api.spotify.com/v1/tracks/0ISIeXBvGQIcQGYfR56jy8,https://api.spotify.com/v1/audio-analysis/0ISIeXBvGQIcQGYfR56jy8,332547,3,0
0.618,0.495,10,-7.588,0,0.456,0.0614,0,0.479,0.193,141.97,audio_features,4DVRguqFUfQQFxxwuEk9wI,spotify:track:4DVRguqFUfQQFxxwuEk9wI,https://api.spotify.com/v1/tracks/4DVRguqFUfQQFxxwuEk9wI,https://api.spotify.com/v1/audio-analysis/4DVRguqFUfQQFxxwuEk9wI,218674,4,0
0.913,0.624,1,-6.91,1,0.209,0.0765,0,0.487,0.512,97.049,audio_features,52qJladopu0vDn2njqIcTI,spotify:track:52qJladopu0vDn2njqIcTI,https://api.spotify.com/v1/tracks/52qJladopu0vDn2njqIcTI,https://api.spotify.com/v1/audio-analysis/52qJladopu0vDn2njqIcTI,149569,4,0
0.799,0.453,11,-11.557,1,0.0381,0.279,0.0698,0.109,0.368,111.976,audio_features,3c9LSxnx0AXdsXiewstFC1,spotify:track:3c9LSxnx0AXdsXiewstFC1,https://api.spotify.com/v1/tracks/3c9LSxnx0AXdsXiewstFC1,https://api.spotify.com/v1/audio-analysis/3c9LSxnx0AXdsXiewstFC1,298941,4,0
0.728,0.347,11,-10.398,1,0.0896,0.761,0.00997,0.346,0.237,123.096,audio_features,25UWSqTX3E8jiH95uxMUOH,spotify:track:25UWSqTX3E8jiH95uxMUOH,https://api.spotify.com/v1/tracks/25UWSqTX3E8jiH95uxMUOH,https://api.spotify.com/v1/audio-analysis/25UWSqTX3E8jiH95uxMUOH,107673,4,0
0.78,0.726,5,-9.17,0,0.0502,0.109,0.392,0.104,0.827,122.989,audio_features,6zq05JacHDDvVpnS4fSIat,spotify:track:6zq05JacHDDvVpnS4fSIat,https://api.spotify.com/v1/tracks/6zq05JacHDDvVpnS4fSIat,https://api.spotify.com/v1/audio-analysis/6zq05JacHDDvVpnS4fSIat,250337,4,0
0.832,0.526,7,-10.401,1,0.16,0.246,0.00425,0.594,0.309,105.87,audio_features,67rmELR3rpp4DX8TtqyFdW,spotify:track:67rmELR3rpp4DX8TtqyFdW,https://api.spotify.com/v1/tracks/67rmELR3rpp4DX8TtqyFdW,https://api.spotify.com/v1/audio-analysis/67rmELR3rpp4DX8TtqyFdW,205163,4,0
0.715,0.548,7,-8.062,0,0.0501,0.0615,1.13e-05,0.102,0.334,98.028,audio_features,03GdNYxpBWXBzeg2rG1COv,spotify:track:03GdNYxpBWXBzeg2rG1COv,https://api.spotify.com/v1/tracks/03GdNYxpBWXBzeg2rG1COv,https://api.spotify.com/v1/audio-analysis/03GdNYxpBWXBzeg2rG1COv,216558,4,0
0.612,0.247,11,-12.241,0,0.0373,0.473,0.0417,0.113,0.229,111.994,audio_features,45v6JcK326S1JH5zixhysH,spotify:track:45v6JcK326S1JH5zixhysH,https://api.spotify.com/v1/tracks/45v6JcK326S1JH5zixhysH,https://api.spotify.com/v1/audio-analysis/45v6JcK326S1JH5zixhysH,186293,4,0
0.87,0.382,1,-8.38,1,0.0663,0.0313,0.00193,0.0939,0.171,131.027,audio_features,0w7TC8SBiCocaPZX9r7oiz,spotify:track:0w7TC8SBiCocaPZX9r7oiz,https://api.spotify.com/v1/tracks/0w7TC8SBiCocaPZX9r7oiz,https://api.spotify.com/v1/audio-analysis/0w7TC8SBiCocaPZX9r7oiz,189230,4,0
0.717,0.811,7,-6.368,1,0.25,0.0112,3.91e-06,0.127,0.431,86.785,audio_features,1XGadwxU5ORuLYkP1JVjfz,spotify:track:1XGadwxU5ORuLYkP1JVjfz,https://api.spotify.com/v1/tracks/1XGadwxU5ORuLYkP1JVjfz,https://api.spotify.com/v1/audio-analysis/1XGadwxU5ORuLYkP1JVjfz,143214,5,0
0.931,0.436,1,-8.272,1,0.235,0.0133,0,0.26,0.29,136.077,audio_features,0yYwtyNFxuIAHInOca7ASR,spotify:track:0yYwtyNFxuIAHInOca7ASR,https://api.spotify.com/v1/tracks/0yYwtyNFxuIAHInOca7ASR,https://api.spotify.com/v1/audio-analysis/0yYwtyNFxuIAHInOca7ASR,236615,4,0
0.903,0.431,8,-11.925,1,0.435,0.047,0,0.138,0.556,139.065,audio_features,0RJdcVCXGshLo4Ci3swDqZ,spotify:track:0RJdcVCXGshLo4Ci3swDqZ,https://api.spotify.com/v1/tracks/0RJdcVCXGshLo4Ci3swDqZ,https://api.spotify.com/v1/audio-analysis/0RJdcVCXGshLo4Ci3swDqZ,307593,4,0
0.799,0.226,11,-8.28,0,0.139,0.417,0.000689,0.353,0.28,96.913,audio_features,0oac1nkRY7t3d5WZXEM6aE,spotify:track:0oac1nkRY7t3d5WZXEM6aE,https://api.spotify.com/v1/tracks/0oac1nkRY7t3d5WZXEM6aE,https://api.spotify.com/v1/audio-analysis/0oac1nkRY7t3d5WZXEM6aE,153725,4,0
0.769,0.285,8,-10.397,0,0.0801,0.0962,0.024,0.122,0.181,97.017,audio_features,308fdFnqFTR35YTQUax34K,spotify:track:308fdFnqFTR35YTQUax34K,https://api.spotify.com/v1/tracks/308fdFnqFTR35YTQUax34K,https://api.spotify.com/v1/audio-analysis/308fdFnqFTR35YTQUax34K,219692,4,0
0.873,0.606,1,-7.009,1,0.0421,0.0151,0.0504,0.144,0.0954,119.999,audio_features,4GdmSZh350PaJRTwgeVWd0,spotify:track:4GdmSZh350PaJRTwgeVWd0,https://api.spotify.com/v1/tracks/4GdmSZh350PaJRTwgeVWd0,https://api.spotify.com/v1/audio-analysis/4GdmSZh350PaJRTwgeVWd0,162638,4,0
0.649,0.57,4,-9.133,1,0.359,0.728,0,0.37,0.386,89.57,audio_features,5C51fK3YIJ5IscNNLXU39n,spotify:track:5C51fK3YIJ5IscNNLXU39n,https://api.spotify.com/v1/tracks/5C51fK3YIJ5IscNNLXU39n,https://api.spotify.com/v1/audio-analysis/5C51fK3YIJ5IscNNLXU39n,305374,4,0
0.874,0.57,1,-8.456,1,0.371,0.0142,0,0.117,0.481,82.515,audio_features,3Y7DnDricNUF9jAWI5alQI,spotify:track:3Y7DnDricNUF9jAWI5alQI,https://api.spotify.com/v1/tracks/3Y7DnDricNUF9jAWI5alQI,https://api.spotify.com/v1/audio-analysis/3Y7DnDricNUF9jAWI5alQI,228438,4,0
0.683,0.38,9,-8.901,0,0.383,0.218,0,0.7,0.399,162.276,audio_features,1jj9Gs0mAlbkJXQsBjjCWO,spotify:track:1jj9Gs0mAlbkJXQsBjjCWO,https://api.spotify.com/v1/tracks/1jj9Gs0mAlbkJXQsBjjCWO,https://api.spotify.com/v1/audio-analysis/1jj9Gs0mAlbkJXQsBjjCWO,206120,4,0
0.432,0.276,0,-11.149,1,0.157,0.332,8.68e-06,0.192,0.238,79.33,audio_features,5448heVTp0QXLeilhxdo4k,spotify:track:5448heVTp0QXLeilhxdo4k,https://api.spotify.com/v1/tracks/5448heVTp0QXLeilhxdo4k,https://api.spotify.com/v1/audio-analysis/5448heVTp0QXLeilhxdo4k,368036,4,0
0.926,0.485,9,-9.478,0,0.398,0.0904,0,0.199,0.637,133.966,audio_features,1UC8echwAV6uWpupCUsbT3,spotify:track:1UC8echwAV6uWpupCUsbT3,https://api.spotify.com/v1/tracks/1UC8echwAV6uWpupCUsbT3,https://api.spotify.com/v1/audio-analysis/1UC8echwAV6uWpupCUsbT3,210937,4,0
0.814,0.534,6,-7.595,0,0.335,0.068,0,0.385,0.596,124.941,audio_features,3iS7Cty9LRMLko6OJtv9eL,spotify:track:3iS7Cty9LRMLko6OJtv9eL,https://api.spotify.com/v1/tracks/3iS7Cty9LRMLko6OJtv9eL,https://api.spotify.com/v1/audio-analysis/3iS7Cty9LRMLko6OJtv9eL,250770,4,0
0.798,0.687,0,-6.208,0,0.405,0.242,0,0.112,0.451,171.044,audio_features,5kQaR1wreGrkzJcXjysi8n,spotify:track:5kQaR1wreGrkzJcXjysi8n,https://api.spotify.com/v1/tracks/5kQaR1wreGrkzJcXjysi8n,https://api.spotify.com/v1/audio-analysis/5kQaR1wreGrkzJcXjysi8n,283551,4,0
0.512,0.28,8,-16.708,0,0.0441,0.811,7.48e-05,0.087,0.545,111.446,audio_features,2AfWCBwGGCsZtvVnGF3QYE,spotify:track:2AfWCBwGGCsZtvVnGF3QYE,https://api.spotify.com/v1/tracks/2AfWCBwGGCsZtvVnGF3QYE,https://api.spotify.com/v1/audio-analysis/2AfWCBwGGCsZtvVnGF3QYE,107162,3,0
0.828,0.783,0,-6.321,1,0.171,0.236,0,0.108,0.178,141.868,audio_features,10LqXyLYqVhjo1Tcu3XYvP,spotify:track:10LqXyLYqVhjo1Tcu3XYvP,https://api.spotify.com/v1/tracks/10LqXyLYqVhjo1Tcu3XYvP,https://api.spotify.com/v1/audio-analysis/10LqXyLYqVhjo1Tcu3XYvP,191437,4,0
0.699,0.476,1,-6.502,1,0.282,0.0325,0,0.0985,0.366,104.926,audio_features,0rQxJYkzMkcbed8NVmpvvT,spotify:track:0rQxJYkzMkcbed8NVmpvvT,https://api.spotify.com/v1/tracks/0rQxJYkzMkcbed8NVmpvvT,https://api.spotify.com/v1/audio-analysis/0rQxJYkzMkcbed8NVmpvvT,217841,3,0
0.729,0.549,1,-8.084,1,0.425,0.176,0,0.382,0.38,77.954,audio_features,7vweq1v8BzuwVChGKQ4gjh,spotify:track:7vweq1v8BzuwVChGKQ4gjh,https://api.spotify.com/v1/tracks/7vweq1v8BzuwVChGKQ4gjh,https://api.spotify.com/v1/audio-analysis/7vweq1v8BzuwVChGKQ4gjh,237312,4,0
0.772,0.494,8,-7.796,1,0.678,0.0995,0,0.0733,0.353,81.831,audio_features,3YpZCyr3OOQsASKaUUzrQ2,spotify:track:3YpZCyr3OOQsASKaUUzrQ2,https://api.spotify.com/v1/tracks/3YpZCyr3OOQsASKaUUzrQ2,https://api.spotify.com/v1/audio-analysis/3YpZCyr3OOQsASKaUUzrQ2,216706,4,0
0.87,0.37,4,-7.869,1,0.285,0.152,2.56e-06,0.0923,0.64,149.87,audio_features,7Cu71U9pwna6IxSUVftp2x,spotify:track:7Cu71U9pwna6IxSUVftp2x,https://api.spotify.com/v1/tracks/7Cu71U9pwna6IxSUVftp2x,https://api.spotify.com/v1/audio-analysis/7Cu71U9pwna6IxSUVftp2x,133917,4,0
0.783,0.521,6,-6.71,0,0.403,0.509,0,0.62,0.457,116.199,audio_features,5S9alBPKlNUOeXHJXiqeSx,spotify:track:5S9alBPKlNUOeXHJXiqeSx,https://api.spotify.com/v1/tracks/5S9alBPKlNUOeXHJXiqeSx,https://api.spotify.com/v1/audio-analysis/5S9alBPKlNUOeXHJXiqeSx,200310,4,0
0.699,0.567,10,-9.246,0,0.265,0.163,1.79e-06,0.141,0.648,84.42,audio_features,7gUfvxe3RmJlaUztHqzJan,spotify:track:7gUfvxe3RmJlaUztHqzJan,https://api.spotify.com/v1/tracks/7gUfvxe3RmJlaUztHqzJan,https://api.spotify.com/v1/audio-analysis/7gUfvxe3RmJlaUztHqzJan,315772,4,0
0.547,0.448,5,-8.352,0,0.436,0.641,0,0.119,0.141,171.16,audio_features,0UV4PCNunm3uzhxzzQSvDE,spotify:track:0UV4PCNunm3uzhxzzQSvDE,https://api.spotify.com/v1/tracks/0UV4PCNunm3uzhxzzQSvDE,https://api.spotify.com/v1/audio-analysis/0UV4PCNunm3uzhxzzQSvDE,197822,4,0
